Wall time,Step,Value
1733183359.224552,569,-1.0
1733183359.863161,573,0.0
1733183360.0219588,574,0.0
1733183360.503592,577,0.0
1733183360.837226,579,0.0
1733183361.000854,580,0.0
1733183361.1638038,581,-1.0
1733183361.334102,582,0.0
1733183361.4964821,583,0.0
1733183361.66633,584,-1.0
1733183362.006647,586,0.0
1733183362.1725912,587,-1.0
1733183363.006242,592,0.0
1733183363.15517,593,-1.0
1733183363.793151,597,0.0
1733183364.283571,600,0.0
1733183364.598778,602,-1.0
1733183365.547643,608,-1.0
1733183365.863234,610,0.0
1733183366.658551,615,0.0
1733183367.3009121,619,0.0
1733183367.454759,620,-1.0
1733183367.766219,622,0.0
1733183369.702739,634,0.0
1733183370.8328252,641,-1.0
1733183370.998409,642,0.0
1733183371.3241742,644,-1.0
1733183371.484417,645,0.0
1733183371.6370718,646,0.0
1733183371.803705,647,-1.0
1733183372.11518,649,0.0
1733183372.620874,652,0.0
1733183373.243566,656,-1.0
1733183373.4026592,657,0.0
1733183374.120747,661,0.0
1733183374.603481,664,0.057851240038871765
1733183375.262541,668,-1.0
1733183375.76637,671,-1.0
1733183375.920479,672,0.0
1733183376.0814888,673,0.0
1733183376.24273,674,-1.0
1733183376.400352,675,0.0
1733183376.715341,677,-1.0
1733183376.887748,678,0.07692307978868484
1733183377.0343082,679,0.0
1733183377.512025,682,0.0
1733183377.6679869,683,-1.0
1733183377.8256829,684,0.0
1733183378.138846,686,-1.0
1733183378.45596,688,0.0
1733183378.614629,689,-1.0
1733183379.741102,696,0.0
1733183380.220275,699,0.0
1733183380.850403,703,0.0
1733183381.33366,706,0.0
1733183381.651436,708,0.0
1733183381.9732969,710,-1.0
1733183382.636085,714,0.10769230872392654
1733183383.288619,718,0.0
1733183383.7663,721,0.0317460335791111
1733183383.931125,722,-1.0
1733183384.083148,723,0.0
1733183384.246849,724,0.0
1733183385.208289,730,0.0
1733183386.171946,736,0.0
1733183386.492861,738,0.0
1733183386.6374989,739,0.0
1733183387.2675688,743,-1.0
1733183387.760763,746,-1.0
1733183387.931007,747,0.0
1733183388.42239,750,0.0
1733183388.5772989,751,0.0
1733183388.743927,752,0.0
1733183389.060443,754,0.0
1733183389.377082,756,0.0
1733183390.337165,762,0.0
1733183390.818998,765,0.0
1733183390.976753,766,0.0
1733183391.457398,769,0.0
1733183391.606394,770,-1.0
1733183391.765601,771,0.0
1733183392.0946019,773,-1.0
1733183392.2580009,774,0.0
1733183393.235853,780,0.0
1733183393.862695,784,0.0
1733183394.0288231,785,-1.0
1733183394.357395,787,0.0
1733183394.665924,789,0.0
1733183394.989752,791,-1.0
1733183395.145469,792,0.0
1733183395.2971,793,0.0
1733183395.457194,794,-1.0
1733183395.611444,795,0.0
1733183396.083307,798,0.0
1733183396.389482,800,-1.0
1733183396.710718,802,0.0
1733183397.193108,805,0.0
1733183397.518812,807,0.0
1733183397.678663,808,0.0
1733183397.844914,809,-1.0
1733183398.775511,815,-1.0
1733183398.936394,816,0.0
1733183399.278382,818,-1.0
1733183399.751971,821,-1.0
1733183400.387764,825,0.0
1733183400.86897,828,0.0
1733183401.3548942,831,0.0
1733183401.512179,832,0.0
1733183401.834979,834,0.0
1733183402.1848278,836,0.0
1733183402.506958,838,0.0
1733183403.277354,843,0.0
1733183403.7479072,846,0.0
1733183404.072927,848,-1.0
1733183406.505711,863,-1.0
1733183407.1604962,867,0.02521008439362049
1733183407.504659,869,-1.0
1733183407.666602,870,0.0
1733183408.289977,874,0.0
1733183408.610722,876,0.0
1733183408.773673,877,0.0
1733183409.259003,880,0.0
1733183409.561837,882,0.0
1733183409.8850172,884,-1.0
1733183410.3639538,887,-1.0
1733183410.676316,889,0.0
1733183410.837447,890,-1.0
1733183411.1463182,892,0.0
1733183411.8005528,896,-1.0
1733183412.424478,900,0.0
1733183413.507531,907,0.0
1733183413.671757,908,-1.0
1733183413.826954,909,0.0
1733183413.991841,910,0.0
1733183414.317375,912,0.0
1733183414.791241,915,0.0
1733183414.9523861,916,0.0
1733183415.110851,917,-1.0
1733183415.600142,920,-1.0
1733183415.769333,921,0.0
1733183415.919913,922,0.0
1733183416.096564,923,-1.0
1733183417.400748,931,0.0
1733183417.5671911,932,-1.0
1733183418.064538,935,-1.0
1733183419.187022,942,0.0
1733183419.670701,945,0.0
1733183420.9455721,953,-1.0
1733183421.096766,954,0.0
1733183421.425981,956,0.0
1733183421.611181,957,0.0
1733183421.769577,958,0.0
1733183422.289658,961,0.0
1733183422.457721,962,-1.0
1733183422.788325,964,0.0892857164144516
1733183423.120034,966,0.0
1733183423.940466,971,-1.0
1733183424.153038,972,0.0
1733183424.780096,976,0.0
1733183424.941802,977,-1.0
1733183425.104235,978,0.2222222238779068
1733183425.267825,979,0.0
1733183425.755834,982,0.0
1733183425.9121768,983,-1.0
1733183426.070771,984,0.0
1733183426.5497532,987,0.0
1733183426.716737,988,0.0
1733183428.005565,996,0.0
1733183428.622206,1000,0.0
