Wall time,Step,Value
1733183316.198866,302,13376441.0
1733183316.3451478,303,6884011.5
1733183317.003546,307,13569018.0
1733183317.1642802,308,13568860.0
1733183317.4842188,310,9345578.0
1733183318.047193,313,12719294.0
1733183318.866116,318,10461088.0
1733183319.0224488,319,10460961.0
1733183319.191594,320,10460814.0
1733183320.005698,325,6657783.0
1733183320.1767821,326,6657693.0
1733183320.336898,327,7506278.5
1733183320.826145,330,22286376.0
1733183322.3626611,339,40582660.0
1733183322.692062,341,40581944.0
1733183323.686172,347,9556026.0
1733183324.783423,353,20820862.0
1733183324.95205,354,10656987.0
1733183325.939729,360,8375829.5
1733183326.434479,363,20064266.0
1733183327.1118798,367,18945048.0
1733183327.7362041,371,22285606.0
1733183328.056115,373,12657392.0
1733183328.7011452,377,12177962.0
1733183328.86187,378,12629782.0
1733183329.029883,379,12629640.0
1733183329.378701,381,9828252.0
1733183330.1809611,386,23107852.0
1733183330.985803,391,17020418.0
1733183331.16434,392,17020200.0
1733183331.335813,393,4522865.0
1733183333.7382588,408,16740307.0
1733183334.862499,415,10472137.0
1733183335.810525,421,7600600.5
1733183335.963255,422,7600487.5
1733183336.276196,424,19430252.0
1733183336.583669,426,9221168.0
1733183337.195797,430,14107514.0
1733183338.583961,439,12422838.0
1733183338.910539,441,25272284.0
1733183339.074997,442,25272090.0
1733183339.548202,445,13832136.0
1733183340.5136268,451,10700194.0
1733183341.795376,459,22752192.0
1733183341.9535239,460,22752022.0
1733183342.425584,463,27663092.0
1733183342.5883121,464,27662752.0
1733183344.034625,473,20230360.0
1733183344.193464,474,3602594.75
1733183345.950164,485,13574306.0
1733183346.436584,488,12999128.0
1733183346.597116,489,12227224.0
1733183346.915694,491,12226941.0
1733183347.231403,493,25913370.0
1733183349.403509,507,9810426.0
1733183350.179461,512,12223828.0
1733183350.4908018,514,7713782.5
1733183350.9605792,517,22642240.0
1733183351.261018,519,4652184.5
1733183352.052534,524,10652860.0
1733183352.2105138,525,12414329.0
1733183353.174759,531,11093223.0
1733183353.481708,533,11092971.0
1733183353.635711,534,7487901.0
1733183353.9500391,536,7487676.5
1733183354.110433,537,7887061.0
1733183354.6013608,540,8294588.5
1733183354.919977,542,8294353.5
1733183355.6969259,547,10084244.0
1733183355.846852,548,10084109.0
1733183357.318947,557,8800151.0
1733183357.638626,559,15850478.0
1733183358.255504,563,19040022.0
1733183358.415841,564,27527030.0
1733183358.5758011,565,27526782.0
1733183359.224588,569,21069710.0
1733183359.863195,573,1812482.875
1733183360.022053,574,1812438.875
1733183360.503627,577,10459852.0
1733183360.837285,579,35863140.0
1733183361.000949,580,35860220.0
1733183361.163842,581,35859852.0
1733183361.334141,582,12042200.0
1733183361.49652,583,12042069.0
1733183361.666364,584,12041918.0
1733183362.006742,586,19564052.0
1733183362.172684,587,19563828.0
1733183363.006279,592,10803230.0
1733183363.155209,593,10803073.0
1733183363.79319,597,9678756.0
1733183364.2836149,600,25760732.0
1733183364.598811,602,25760220.0
1733183365.547681,608,13145997.0
1733183365.863277,610,8509592.0
1733183366.6586409,615,33453108.0
1733183367.300949,619,6844073.5
